accident_year,number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,Hour,Month,Day,high_winds,pedestrian_in_carriageway
2019,1,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Male,16 - 20,1,Front seat passenger,Car occupant,8,8,9,False,False
2020,2,1,Unclassified,Roundabout,30,Mini-roundabout,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Cyclist,17,1,3,False,False
2020,2,2,A,Single carriageway,40,Crossroads,B,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,36 - 45,1,Not car passenger,Car occupant,22,5,12,False,False
2020,2,2,A,Single carriageway,40,Crossroads,B,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,36 - 45,1,Not car passenger,Car occupant,22,5,12,False,False
2022,1,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,36 - 45,0,Not car passenger,Pedestrian,1,1,9,False,True
2021,2,2,A,Dual carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,11,12,3,False,False
2021,2,2,A,Dual carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,11,12,3,False,False
2022,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,Over 75,1,Not car passenger,Car occupant,18,11,6,False,False
2020,3,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,1,Not car passenger,Cyclist,17,9,12,False,False
2023,2,1,B,Roundabout,30,Roundabout,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Motorcycle,16,6,22,False,False
2019,3,1,B,Single carriageway,60,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,16,12,23,False,False
2023,2,2,A,Single carriageway,40,T or staggered junction,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,6 - 10,0,Rear seat passenger,Car occupant,14,8,27,False,False
2023,2,2,A,Single carriageway,40,T or staggered junction,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,6 - 10,0,Rear seat passenger,Car occupant,14,8,27,False,False
2020,2,1,Unclassified,Single carriageway,30,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,10,2,11,False,False
2019,3,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,36 - 45,0,Front seat passenger,Car occupant,8,9,25,False,False
2020,2,1,A,Dual carriageway,40,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,23,12,24,False,False
2022,1,3,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,1,Not car passenger,Motorcycle,15,10,14,False,False
2022,1,3,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,1,Not car passenger,Motorcycle,15,10,14,False,False
2022,1,3,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,1,Not car passenger,Motorcycle,15,10,14,False,False
2019,3,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,Central refuge,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,6,11,8,False,False
2019,2,2,C,Single carriageway,30,Crossroads,C,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,20,11,24,False,False
2019,2,2,C,Single carriageway,30,Crossroads,C,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,20,11,24,False,False
2020,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Large Vehicle,14,10,21,False,False
2021,2,1,Unclassified,Single carriageway,30,More than 4 arms (not roundabout),A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Cyclist,8,8,12,False,False
2019,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,13,10,26,False,False
2022,2,3,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Passenger,Male,26 - 35,0,Not car passenger,Large Vehicle,23,11,25,False,False
2022,2,3,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Passenger,Male,26 - 35,0,Not car passenger,Large Vehicle,23,11,25,False,False
2022,2,3,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Passenger,Male,26 - 35,0,Not car passenger,Large Vehicle,23,11,25,False,False
2021,3,1,Motorway,Dual carriageway,70,Slip road,Motorway,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,66 - 75,0,Front seat passenger,Car occupant,16,9,10,False,False
2019,2,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,6 - 10,1,Not car passenger,Cyclist,16,7,12,False,False
2021,2,5,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,26 - 35,0,Rear seat passenger,Car occupant,10,11,11,False,False
2021,2,5,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,26 - 35,0,Rear seat passenger,Car occupant,10,11,11,False,False
2021,2,5,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,26 - 35,0,Rear seat passenger,Car occupant,10,11,11,False,False
2021,2,5,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,26 - 35,0,Rear seat passenger,Car occupant,10,11,11,False,False
2021,2,5,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,26 - 35,0,Rear seat passenger,Car occupant,10,11,11,False,False
2019,3,3,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,1,Not car passenger,Car occupant,15,6,12,False,False
2019,3,3,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,1,Not car passenger,Car occupant,15,6,12,False,False
2019,3,3,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,1,Not car passenger,Car occupant,15,6,12,False,False
2020,1,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Motorcycle,15,4,2,False,False
2023,2,1,Unclassified,Roundabout,20,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Car occupant,15,1,12,False,False
2019,2,1,A,Single carriageway,60,Slip road,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,26 - 35,1,Not car passenger,Car occupant,16,2,15,False,False
2019,1,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Passenger,Female,26 - 35,1,Front seat passenger,Car occupant,23,12,3,False,False
2019,1,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Passenger,Female,26 - 35,1,Front seat passenger,Car occupant,23,12,3,False,False
2022,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Daylight,Urban,Non-trunk,Pedestrian,Female,11 - 15,0,Not car passenger,Pedestrian,15,10,17,False,True
2021,2,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Cyclist,8,6,18,False,False
2019,1,1,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,6 - 10,0,Not car passenger,Pedestrian,21,12,11,False,True
2019,2,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,10,4,6,False,False
2022,3,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,17,4,26,False,False
2020,2,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,15,9,24,False,False
2020,2,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,15,9,24,False,False
2023,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Cyclist,10,4,24,False,False
2019,2,1,Unclassified,Single carriageway,20,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,7,11,7,False,False
2023,2,1,Unclassified,Single carriageway,30,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,21 - 25,1,Front seat passenger,Car occupant,13,4,4,False,False
2023,2,2,B,Single carriageway,20,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Passenger,Female,Over 75,1,Front seat passenger,Car occupant,23,7,3,False,False
2023,2,2,B,Single carriageway,20,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Passenger,Female,Over 75,1,Front seat passenger,Car occupant,23,7,3,False,False
2020,2,1,A,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Other,16,6,13,False,False
2019,3,3,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,Over 75,0,Not car passenger,Car occupant,10,10,2,False,False
2019,3,3,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,Over 75,0,Not car passenger,Car occupant,10,10,2,False,False
2019,3,3,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,Over 75,0,Not car passenger,Car occupant,10,10,2,False,False
2019,1,1,Unclassified,Single carriageway,20,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,26 - 35,0,Not car passenger,Pedestrian,8,10,15,False,False
2023,2,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,1,Not car passenger,Cyclist,8,11,5,False,False
2019,2,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,17,6,4,False,False
2022,4,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,1,5,21,False,False
2019,2,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Car occupant,21,6,16,False,False
2019,2,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Car occupant,21,6,16,False,False
2021,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,Over 75,0,Not car passenger,Pedestrian,9,5,27,False,False
2023,3,5,Unclassified,Single carriageway,30,Crossroads,Unclassified,Zebra,Daylight,Urban,Non-trunk,Passenger,Male,11 - 15,0,Front seat passenger,Car occupant,17,3,17,False,False
2023,3,5,Unclassified,Single carriageway,30,Crossroads,Unclassified,Zebra,Daylight,Urban,Non-trunk,Passenger,Male,11 - 15,0,Front seat passenger,Car occupant,17,3,17,False,False
2023,3,5,Unclassified,Single carriageway,30,Crossroads,Unclassified,Zebra,Daylight,Urban,Non-trunk,Passenger,Male,11 - 15,0,Front seat passenger,Car occupant,17,3,17,False,False
2023,3,5,Unclassified,Single carriageway,30,Crossroads,Unclassified,Zebra,Daylight,Urban,Non-trunk,Passenger,Male,11 - 15,0,Front seat passenger,Car occupant,17,3,17,False,False
2023,3,5,Unclassified,Single carriageway,30,Crossroads,Unclassified,Zebra,Daylight,Urban,Non-trunk,Passenger,Male,11 - 15,0,Front seat passenger,Car occupant,17,3,17,False,False
2022,3,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,11,12,31,False,False
2019,3,3,A,Single carriageway,40,T or staggered junction,B,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,16 - 20,1,Not car passenger,Car occupant,14,8,4,False,False
2019,3,3,A,Single carriageway,40,T or staggered junction,B,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,16 - 20,1,Not car passenger,Car occupant,14,8,4,False,False
2019,3,3,A,Single carriageway,40,T or staggered junction,B,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,16 - 20,1,Not car passenger,Car occupant,14,8,4,False,False
2021,5,4,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Male,46 - 55,1,Front seat passenger,Car occupant,17,5,2,False,False
2021,5,4,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Male,46 - 55,1,Front seat passenger,Car occupant,17,5,2,False,False
2021,5,4,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Male,46 - 55,1,Front seat passenger,Car occupant,17,5,2,False,False
2021,5,4,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Male,46 - 55,1,Front seat passenger,Car occupant,17,5,2,False,False
2023,2,1,Unclassified,Single carriageway,30,More than 4 arms (not roundabout),B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Car occupant,14,10,1,False,False
2023,2,2,A,Roundabout,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Large Vehicle,17,5,12,False,False
2023,2,2,A,Roundabout,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Large Vehicle,17,5,12,False,False
2020,2,1,A,Single carriageway,30,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,20,1,17,False,False
2023,1,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,21 - 25,1,Not car passenger,Pedestrian,12,3,27,False,True
2023,1,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,22,1,24,False,False
2021,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,16,4,22,False,False
2023,2,2,Unclassified,Single carriageway,20,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,46 - 55,0,Not car passenger,Pedestrian,18,12,3,False,True
2023,2,2,Unclassified,Single carriageway,20,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,46 - 55,0,Not car passenger,Pedestrian,18,12,3,False,True
2021,1,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,6 - 10,0,Not car passenger,Pedestrian,8,9,10,False,True
2023,1,1,A,Single carriageway,40,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,66 - 75,1,Not car passenger,Pedestrian,13,1,16,False,True
2021,2,1,B,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Cyclist,13,5,3,False,False
2020,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Female,0 - 5,0,Not car passenger,Pedestrian,17,12,2,False,False
2022,1,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Female,26 - 35,0,Not car passenger,Pedestrian,0,1,1,False,True
2019,2,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,11 - 15,1,Not car passenger,Pedestrian,19,10,12,False,True
2023,2,1,A,Single carriageway,50,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,14,10,19,False,False
2019,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,46 - 55,1,Not car passenger,Pedestrian,0,6,1,False,True
2020,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Cyclist,8,7,16,False,False
2023,2,1,Unclassified,Single carriageway,20,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,56 - 65,0,Front seat passenger,Car occupant,18,5,29,False,False
2023,1,1,A,Roundabout,40,Roundabout,B,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Pedestrian,Female,26 - 35,0,Not car passenger,Pedestrian,15,2,14,False,False
2022,2,1,Unclassified,Single carriageway,30,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,46 - 55,0,Front seat passenger,Car occupant,14,12,9,False,False
2021,2,1,A,Roundabout,60,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,16,4,23,False,False
2020,2,2,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Motorcycle,17,8,11,False,False
2020,2,2,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Motorcycle,17,8,11,False,False
2022,2,2,A,Single carriageway,60,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,7,12,2,False,False
2022,2,2,A,Single carriageway,60,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,7,12,2,False,False
2019,2,1,Unclassified,One way street,30,Other,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Mobility scooter rider,11,10,12,False,False
2022,3,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Passenger,Female,16 - 20,0,Not car passenger,Large Vehicle,23,7,25,False,False
2020,1,1,C,Single carriageway,30,T or staggered junction,C,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,36 - 45,1,Not car passenger,Pedestrian,14,3,2,False,True
2019,2,1,A,Dual carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Motorcycle,7,5,8,False,False
2020,2,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Male,66 - 75,0,Not car passenger,Car occupant,10,8,2,False,False
2020,2,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Male,66 - 75,0,Not car passenger,Car occupant,10,8,2,False,False
2023,2,1,A,Dual carriageway,30,Other,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,14,4,13,False,False
2021,1,1,Unclassified,Dual carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,16 - 20,0,Not car passenger,Pedestrian,22,10,17,False,True
2020,2,1,A,Dual carriageway,40,Crossroads,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Passenger,Female,56 - 65,0,Rear seat passenger,Car occupant,14,2,12,True,False
2020,4,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,16 - 20,1,Not car passenger,Motorcycle,14,1,29,False,False
2023,3,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Passenger,Male,26 - 35,0,Front seat passenger,Car occupant,17,5,9,False,False
2020,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Cyclist,15,11,23,False,False
2020,2,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Cyclist,10,6,25,False,False
2022,2,1,A,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,16,1,21,False,False
2023,3,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Central refuge,Daylight,Urban,Non-trunk,Passenger,Female,21 - 25,1,Front seat passenger,Car occupant,14,8,16,False,False
2021,2,1,A,Slip road,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,12,11,5,False,False
2021,2,1,B,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,23,11,30,True,False
2019,2,1,A,Single carriageway,30,Crossroads,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Cyclist,8,11,5,False,False
2019,1,1,A,Dual carriageway,40,Crossroads,B,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Pedestrian,Female,36 - 45,0,Not car passenger,Pedestrian,11,10,29,False,True
